rally,ball_round,time,start_frame,end_frame,roundscore_AB,roundscore_CD,player,server,ball_type,backhand,hit_height,hit_x,hit_y,return_height,return_x,return_y,player_A_x,player_A_y,player_B_x,player_B_y,player_C_x,player_C_y,player_D_x,player_D_y,lose_reason,fault_player,score_reason,score_team,flaw,db
1,1,00:32:08,57864,57878,0,1,B,1,發短球,1,2,0,0,2,665,432,658,321,625,356,707,490,584,499,,,,,0,0
1,2,00:32:09,57878,57897,0,1,C,2,網前小球,1,2,665,432,2,831,338,662,325,634,364,683,463,579,506,,,,,0,0
1,3,00:32:09,57897,57938,0,1,A,2,挑球,1,2,831,338,1,447,601,771,326,674,374,723,462,590,531,,,,,0,0
1,4,00:32:11,57938,57952,0,1,D,2,殺球,0,1,447,601,2,502,320,694,320,512,322,601,519,448,600,,,,,0,0
1,5,00:32:11,57952,58006,0,1,B,3,挑球,1,2,502,320,2,1127,557,691,326,499,320,562,504,433,623,出界,B,對手出界,CD,0,0
2,1,00:32:39,58798,58812,1,1,D,1,發短球,1,2,0,0,2,672,378,735,354,596,344,651,539,613,483,,,,,0,0
2,2,00:32:40,58812,58823,1,1,A,2,平球,0,2,672,378,1,514,529,719,369,600,351,649,551,614,480,,,,,0,0
2,3,00:32:40,58823,58835,1,1,C,2,平球,1,1,514,529,2,544,334,721,372,604,340,616,554,622,490,,,,,0,0
2,4,00:32:41,58835,58855,1,1,B,2,網前小球,0,2,544,334,2,492,474,723,364,561,333,577,544,675,494,,,,,0,0
2,5,00:32:41,58855,58868,1,1,C,2,網前小球,1,2,492,474,1,704,384,686,326,585,355,508,531,653,506,,,,,0,0
2,6,00:32:42,58868,58878,1,1,B,2,推撲球,1,1,704,384,1,608,522,654,315,626,369,553,522,656,500,,,,,0,0
2,7,00:32:42,58878,58902,1,1,C,2,網前小球,1,1,608,522,1,480,368,667,310,713,376,605,533,677,479,,,,,0,0
2,8,00:32:43,58902,58923,1,1,A,2,網前小球,0,1,480,368,2,419,478,562,355,698,374,623,560,644,489,,,,,0,0
2,9,00:32:44,58923,58946,1,1,C,2,網前小球,1,2,419,478,2,794,395,532,342,618,355,467,530,690,490,,,,,0,0
2,10,00:32:44,58946,58963,1,1,B,2,網前小球,1,2,794,395,2,719,429,637,321,692,373,521,562,687,497,,,,,0,0
2,11,00:32:45,58963,58980,1,1,D,2,推撲球,0,2,719,429,2,688,334,622,330,722,376,646,544,681,458,,,,,0,0
2,12,00:32:46,58980,58991,1,1,A,2,平球,1,2,688,334,1,569,469,640,338,632,385,659,536,687,465,,,,,0,0
2,13,00:32:46,58991,59020,1,1,D,3,網前小球,1,1,569,469,2,400,339,660,332,644,369,633,554,640,470,出界,D,對手出界,AB,0,0
3,1,00:33:06,59597,59613,1,2,A,1,發短球,1,2,0,0,2,629,443,652,342,604,368,657,512,538,497,,,,,0,0
3,2,00:33:07,59613,59622,1,2,D,2,網前小球,0,2,629,443,1,635,368,651,331,602,371,648,518,566,479,,,,,0,0
3,3,00:33:07,59622,59643,1,2,B,3,推撲球,0,1,635,368,2,631,405,667,321,622,359,648,527,574,455,掛網,B,對手掛網,CD,0,0
4,1,00:33:21,60039,60055,2,2,C,1,發短球,1,2,0,0,2,624,382,650,335,561,346,657,516,579,482,,,,,0,0
4,2,00:33:21,60055,60067,2,2,B,2,推撲球,1,2,624,382,2,470,522,647,332,571,362,638,522,568,481,,,,,0,0
4,3,00:33:22,60067,60095,2,2,C,2,挑球,1,2,470,522,1,479,300,641,332,599,375,602,537,590,480,,,,,0,0
4,4,00:33:23,60095,60105,2,2,A,2,殺球,0,1,479,300,2,754,490,529,308,631,359,479,553,688,486,,,,,0,0
4,5,00:33:23,60105,60156,2,2,D,3,挑球,1,2,754,490,2,1023,316,476,307,606,352,494,572,730,513,出界,D,對手出界,AB,0,0
5,1,00:33:44,60729,60745,2,3,B,1,發短球,1,2,0,0,2,671,432,660,320,631,355,711,494,594,500,,,,,0,0
5,2,00:33:44,60745,60763,2,3,C,2,推撲球,1,2,671,432,1,672,326,669,315,655,365,691,467,580,505,,,,,0,0
5,3,00:33:45,60763,60786,2,3,A,2,網前小球,1,1,672,326,2,463,442,651,330,662,376,703,476,568,519,,,,,0,0
5,4,00:33:46,60786,60832,2,3,D,2,挑球,1,2,463,442,1,742,282,636,319,652,368,685,496,478,486,,,,,0,0
5,5,00:33:47,60832,60853,2,3,A,2,切球,0,1,742,282,2,730,472,751,284,690,336,750,516,538,530,,,,,0,0
5,6,00:33:48,60853,60871,2,3,C,2,平球,1,2,730,472,1,820,311,737,284,681,335,741,498,559,508,,,,,0,0
5,7,00:33:49,60871,60893,2,3,A,2,網前小球,1,1,820,311,2,815,506,723,308,709,352,716,528,633,484,,,,,0,0
5,8,00:33:49,60893,60920,2,3,C,2,網前小球,0,2,815,506,2,466,380,751,327,692,358,783,544,620,485,,,,,0,0
5,9,00:33:50,60920,60942,2,3,B,2,網前小球,0,2,466,380,2,456,441,643,317,558,379,699,559,496,498,,,,,0,0
5,10,00:33:51,60942,60987,2,3,D,2,挑球,1,2,456,441,1,797,289,634,325,574,369,654,538,500,482,,,,,0,0
5,11,00:33:52,60987,61000,2,3,A,2,殺球,0,1,797,289,2,908,553,808,293,702,339,776,556,578,526,,,,,0,0
5,12,00:33:53,61000,61020,2,3,C,2,平球,1,2,908,553,1,806,327,815,294,681,342,790,569,544,549,,,,,0,0
5,13,00:33:54,61020,61046,2,3,A,2,網前小球,1,1,806,327,2,796,456,782,316,626,344,770,545,554,528,,,,,0,0
5,14,00:33:54,61046,61092,2,3,C,2,挑球,1,2,796,456,1,799,285,694,316,686,370,791,514,596,494,,,,,0,0
5,15,00:33:56,61092,61101,2,3,A,2,殺球,0,1,799,285,2,737,514,808,284,707,338,782,539,580,523,,,,,0,0
5,16,00:33:56,61101,61122,2,3,C,2,平球,1,2,737,514,1,747,316,816,292,680,345,777,542,561,537,,,,,0,0
5,17,00:33:57,61122,61136,2,3,A,2,平球,0,1,747,316,2,586,520,760,315,675,342,774,548,537,548,,,,,0,0
5,18,00:33:57,61136,61153,2,3,D,2,網前小球,1,2,586,520,2,823,382,707,323,680,358,770,555,553,559,,,,,0,0
5,19,00:33:58,61153,61172,2,3,B,3,網前小球,1,2,823,382,2,596,401,680,322,735,370,727,547,571,566,未過網,B,對手未過網,CD,0,0
6,1,00:34:22,61876,61890,3,3,D,1,發短球,1,2,0,0,1,665,380,740,357,600,346,645,548,604,484,,,,,0,0
6,2,00:34:23,61890,61900,3,3,A,2,推撲球,0,1,665,380,2,662,526,734,368,609,356,640,551,611,475,,,,,0,0
6,3,00:34:23,61900,61923,3,3,C,2,平球,1,2,662,526,1,683,320,721,372,598,344,645,536,602,486,,,,,0,0
6,4,00:34:24,61923,61932,3,3,A,2,殺球,0,1,683,320,2,544,482,727,336,587,337,649,568,538,498,,,,,0,0
6,5,00:34:24,61932,61956,3,3,D,2,平球,0,2,544,482,2,772,295,686,310,592,335,650,576,474,511,,,,,0,0
6,6,00:34:25,61956,61981,3,3,B,2,網前小球,1,2,772,295,2,794,433,682,303,622,348,691,548,490,535,,,,,0,0
