index,x,y
9,666,368
14,646,321
15,647,316
16,652,307
39,726,292
40,615,308
41,607,316
42,602,325
43,600,327
44,596,333
52,720,261
53,730,258
54,741,256
56,751,256
57,762,258
58,773,267
59,777,267
60,783,273
61,785,276
62,786,281
63,790,282
64,796,291
65,801,296
66,805,303
67,807,306
68,810,316
69,813,326
70,818,336
72,827,361
73,828,363
74,831,377
75,833,391
78,688,262
80,660,236
81,637,217
82,620,203
83,605,192
84,591,183
85,590,182
86,578,176
87,568,172
88,561,168
89,552,166
90,546,166
91,546,166
92,540,166
93,533,168
94,528,171
95,523,173
96,521,178
97,518,181
98,515,186
99,511,191
100,508,197
101,506,203
102,506,150
103,506,145
104,506,106
105,506,70
106,506,42
107,506,20
108,508,3
109,510,2
132,536,5
133,537,7
134,538,21
135,540,36
136,541,52
137,542,72
138,545,90
139,545,92
140,546,111
141,546,127
143,548,172
144,551,195
145,548,221
152,641,258
153,657,253
154,670,250
155,680,251
156,676,251
170,550,292
171,538,303
172,527,313
173,518,323
174,510,333
175,507,336
176,498,347
177,490,361
178,481,376
179,473,390
180,468,402
181,467,405
182,460,421
183,453,436
184,446,455
185,441,470
186,436,470
187,436,475
188,431,428
189,431,398
190,431,371
191,428,350
192,426,333
193,426,328
194,425,315
195,423,301
196,423,291
197,421,281
198,421,276
199,421,275
200,422,268
201,421,265
202,421,263
203,421,262
204,421,262
205,421,262
206,421,263
207,422,265
208,421,267
209,421,272
210,421,276
211,422,278
212,423,282
213,425,287
214,425,300
215,426,305
219,427,337
220,427,318
222,421,281
223,422,278
224,422,268
225,421,256
226,421,246
227,421,240
228,420,235
229,420,233
230,420,230
231,420,227
232,421,225
233,421,223
234,421,225
235,421,225
236,421,227
237,421,230
238,421,235
239,421,241
240,423,248
241,423,250
242,423,257
243,426,267
244,426,278
245,426,290
246,427,302
247,427,307
248,428,320
249,428,333
250,437,332
251,457,313
252,473,297
253,477,293
254,490,280
255,502,272
256,512,263
270,601,276
271,603,277
272,607,283
273,611,292
274,617,301
275,632,302
276,647,285
277,647,282
278,665,272
279,671,270
285,730,255
286,738,256
287,751,260
288,757,265
289,757,265
290,768,270
291,776,276
292,783,283
293,791,292
294,798,301
295,800,303
296,806,312
297,813,323
298,820,337
299,826,351
300,831,366
301,832,365
302,837,377
303,832,327
304,825,295
305,820,265
306,816,250
307,816,248
308,813,236
309,812,225
316,757,277
317,742,301
318,728,325
319,728,325
320,716,350
321,706,368
322,695,391
323,686,408
324,677,430
325,676,433
326,668,452
327,660,472
329,633,395
330,625,367
331,622,366
332,611,342
333,601,323
334,596,308
335,590,295
336,586,286
337,583,282
338,576,276
339,573,270
340,566,266
341,563,261
342,562,258
343,561,258
344,558,258
345,556,258
346,553,260
347,551,263
348,548,267
349,548,270
350,552,272
351,546,276
352,546,281
353,545,290
359,647,247
360,665,242
361,667,242
362,683,238
363,698,236
364,715,233
365,728,236
366,740,236
367,742,237
368,752,240
369,765,246
371,791,257
373,803,268
374,812,277
375,820,290
376,828,301
377,836,311
378,845,326
379,846,326
380,853,341
381,861,355
382,866,371
386,762,238
387,742,215
388,727,195
389,715,181
390,706,171
391,705,168
392,697,161
393,690,156
394,683,151
395,678,150
396,675,148
397,672,147
398,668,147
399,665,148
400,632,182
401,610,211
402,593,233
403,590,236
404,575,260
405,562,280
406,548,301
407,537,320
408,527,340
409,526,338
410,518,356
411,516,348
412,525,325
413,533,305
414,536,291
415,537,287
416,540,276
417,543,266
418,548,258
419,552,253
420,555,250
421,557,248
422,557,247
423,560,246
424,562,247
425,565,247
426,565,248
427,567,251
428,570,252
429,570,255
430,560,256
431,556,251
432,553,248
433,551,248
434,545,248
435,540,250
436,533,251
437,528,253
438,526,256
439,523,258
440,518,263
441,513,270
442,510,276
443,506,282
444,502,291
445,501,295
446,498,303
447,501,311
448,525,285
449,542,272
450,553,261
451,556,260
452,567,252
453,576,246
454,585,243
455,590,242
459,666,273
460,688,287
461,710,300
462,727,311
463,730,312
464,747,325
465,763,337
466,780,351
467,796,366
468,811,380
469,811,381
470,823,395
471,836,410
472,847,425
473,856,431
474,860,431
475,861,432
476,865,433
477,871,432
478,877,433
479,882,436
480,886,438
481,887,440
482,892,443
483,896,445
484,898,445
485,901,445
486,903,445
487,903,446
488,906,446
489,907,446
490,907,447
491,910,450
492,908,447
493,908,446
